名称,价格,需要智力,需要体力
00 - 以逸待劳-1400-让主公原地停留一次
01-瞒天过海-200-让主公可以多行动一次
02-无中生有- 1000- 祈求神明赏赐主公锦囊
03-虚张声势- 600- 利用舆论以增加主公的声望
04-福星高照- 2600- 一定回合内行动不受城池建物影响
05-暗渡陈仓- 2600 让主公自由移动到想去的地方
06-雪中送炭- 1000- 主公身无分文时，可凭空获得5000两
07-泽被苍生- 600- 一定回合内经过之所有城池人口上升
08-瘟神附体- 600- 一定回合内经过之所有城池人口下降
09-回光反照- 600- 恢复一名武将的体力
10-六畜兴旺- 1800 增加城池的人口
11-草木皆兵- 1000- 增加我方城池的士兵
12-乐不思蜀- 2200- 使敌人数回合不能行动
13-固步自封- 1800- 让敌人原地停留一次
14-循循善诱- 3000- 使敌方主公下回合移动到指定的地方
15-斧底抽薪- 1000- 派人卧底盗取敌人计谋
16-打草惊蛇- 200- 派人破坏敌人身上之计谋
17-顺手牵羊- 600- 随手偷取敌人身上银两
18-见机行事- 1000- 偷窃敌人攻城机关一件
19-图谋不轨- 1000- 偷窃敌人建筑图一张
20-造谣生事- 200- 捏造负面消息以降低敌人声望
21-祸不单行- 2600- 一定回合内付过路费时都需加付一半
22-以毒攻敌- 3000- 派出卧底下药，让敌方全部武将中毒
23-杀鸡儆猴- 1400- 暗杀敌方武将，使其体力下降
24-借刀杀人- 1000- 向敌人“借”武器
25-过河拆桥- 2200- 拆除敌人城内建筑
26-杀人放火- 2600- 拆除敌人城内建筑，并减少人口
27-解甲归田- 1000- 用计减少敌方城内士兵
28-择木而栖- 2200- 引诱敌方城内士兵投靠我方
29-人去楼空- 600- 用计减少敌方城内的人口
30-反客为主- 9000- 趁敌人不备窃战其城池
31-调虎离山- 2200- 发送假情报使敌将前往聚闲庄
32-扮猪吃虎- 3000- 强迫敌人缴交过路费
33-退避三舍- 2600- 攻城战时使敌人自动退兵
34-金蝉脱壳- 1000- 经过敌方城池时不需缴交过路费
35-临危不乱- 600- 让敌人对主公使用计谋失效
36-固若金汤- 600- 让敌人对我方城池使用计谋失效
37-李代桃僵- 1400- 将不幸的事转嫁给其他人
38-均富天下- 9000- 所有主公金钱统合平分
39-势均力敌- 3000- 所有主公身边士兵统和重分

00- 迁延时日- 200- 单挑时延长单挑时间
01- 怒发冲冠- 200- 单挑时我方武将斗气加速提升
02- 妙手回春- 1000- 单挑时回复我方武将体力
03- 挺身而出- 1000- 单挑时以用计者替换我方在场武将
04- 江郎才尽- 600- 单挑时禁止敌方使用计谋
05- 笑里藏刀- 600- 单挑时使敌方武将武力下降
06- 丧家之犬- 1800- 单挑时使敌方武将撤退
07- 手无寸铁- 200- 单挑时封锁敌方武器
08- 狸猫换子- 600- 单挑时敌我武将武器暂时交换
09- 偷龙转凤- 1400- 单挑时敌我双方体力值暂时互换。
10- 乾坤互换- 200- 单挑时敌我双方斗气互换
11- 昏昏欲睡- 1800- 单挑时催眠敌方武将
12- 垂头丧气- 200- 单挑时敌方武将斗气提升速度减缓
13- 暗箭伤人- 1000- 单挑时降低敌方武将体力
14- 两败俱伤- 1000- 单挑时是敌人攻击同时自己也受到损伤
15- 避重就轻- 600- 单挑时使敌人无法使出大绝招
16- 万箭齐发- 600- 野战时我方士兵全部换成弓兵
17- 万马奔腾- 600- 野战时我方士兵全部换成骑兵
18- 步步为营- 600- 野战时我方士兵全部换成步兵
19- 移形换位- 200- 野战时所有士兵位置随机变换
20- 无所遁形- 1000- 野战时使敌方埋设之陷阱全数被识破
21- 主将沐恩- 600- 野战时主将恢复体力
22- 弓兵沐恩- 1000- 野战时恢复弓兵数量
23- 骑兵沐恩- 1000- 野战时恢复骑兵数量
24- 步兵沐恩- 1000- 野战时恢复步兵数量
25- 鸟尽弓藏- 1000- 野战时使敌方弓兵减少
26- 马有失蹄- 1000- 野战时使敌方骑兵减少
27- 步履维艰- 1000- 野战时使敌方步兵减少
28- 左右逢源- 1400- 野战时改变地形为水战
29- 植木成林- 1400- 野战时改变地形为林战
30- 沃野千里- 1400- 野战时改变地形为陆地
31- 临阵磨枪- 1000- 攻城战时增强机关威力百分之二十
32- 众志成城- 2200- 攻城战时使城池耐久度由零回复至最大值
33- 将士用命- 1400- 攻城战时我方参战武将同时使用威吓计
34- 洒豆成兵- 1800- 攻城战时我方参战士兵增加
35- 孟女哭城- 3000- 攻城战时使敌城池耐久度瞬间下降至0
36- 屈人之兵- 1400- 攻城战时使敌部分参战士兵惧战撤退
37- 弃暗投明- 2200- 攻城时使敌部分士兵倒戈投降
38- 见机行事- 1000- 攻城战时破坏敌方一个攻城机关
