00-.粮 仓- 400- 1- 本城人口成长数额外增加50%
01-.粮 库- 1000- 2- 八格范围内所有城池，人口成长数额外增加100%
02-.屎来乐- 1000- 2- 八格范围内所有城池，人口成长数额外减少50%
03-.屎王神- 2000- 3- 十二格范围内所有城池，人口成长数额外减少100%
04-.徵兵站- 400- 1- 本城士兵成长率增加20%
05-.徵兵所- 1000- 2- 八格范围内所有城池士兵成长率增加40%
06-.市 集- 400- 1- 本城税收增加15%
07-.市 场- 1000- 2- 八格范围内所有城池税收增加30%
08-.市 街- 2000- 3- 十二格范围内所有城池税收增加50%
09-.土碉堡- 1000- 2- 本城城池耐久度增加50点
10-.石碉堡- 2000- 3- 八格范围内所有城池耐久度增加100%
11-.兵 营- 2000- 3- 本城驻军费用减少15%
12-.飞虎营- 3800- 4 八格范围内所有城池驻军费用减少30%
13-.骁骑营- 7200- 5- 十二格范围内所有城池驻军费用减少50%
14-.银 菊- 2000- 3- 停留或驻军此处，每回合武将体力回复额外增加10点
15-.雪 莲- 3800- 4- 停留或驻军此处，每回合武将体力回复额外增加20点
16-.紫灵芝- 7200- 5- 停留或驻军此处，每回合武将体力回复额外增加30点
17-.私掠站- 1200- 2- 本城过路费增加10%
18-.私掠所- 2400- 3- 八格范围内所有城池过路费增加20%
19-.献帝像- 1000- 2- 建此项声望增加20点，每次走到增加2点
20-.谤言卑- 2000- 3- 主公停留此处，声望下降5点
21-.箭 阵- 2000- 3- 停留此处，所有武将体力下降15点
22-.箭 塔- 4800- 4- 停留此处，所有武将体力下降30点
23-.箭 楼- 9600- 5- 停留四格范围内，所有武将体力下降40点
24.-骷髅架- 2000- 3- 停留此处，5%士兵逃亡
25.-万骨冢- 3800- 4- 停留四个范围内，10%士兵逃亡
26.-狐狸精- 7200- 5- 停留此处，士兵逃亡入城
27.-明珠屋- 400- 1- 停留六格范围内，禁止使用任何锦囊
28.-明珠房- 1000- 2- 停留八格范围内，禁止使用任何锦囊
29.-明珠殿- 2000- 3- 停留十二格范围内，禁止使用任何锦囊
30.-食图虫- 2000- 3- 停留此处，随机毁损一个建筑图
31.-食木虫- 2000- 3- 停留此处，随机损坏一个机关
32-.食锦虫- 2000- 3- 停留此处，随机遗失一个锦囊
33-.天师坛- 800- 2- 停留十格范围内速度放慢，只能使用一颗骰子
34-.禁斗牌- 2400- 3- 禁止单挑
35-.静思亭- 2400- 3- 停留此处必能想出计谋
36-.鲁般屋- 2400- 3- 停留此处可获得机关
37-.锻治屋- 2400- 3- 停留此处可获得武器
38-.收费站- 2400- 3- 经过或停留此处都必须先缴5%的过路费
39.-收费处- 4800- 4- 经过或停留此处都必须先缴10%的过路费
40-.收费所- 9600- 5- 经过或停留此处都必须先缴20%的过路费
41-.免战牌- 2000- 3- 战争失败，需缴三倍过路费
42-.怡春院- 2000- 3- 停留此处，停止行动一回合
43-.铜雀台- 1600- 3- 停留八格范围内，若遇一般事件必是好事
44-.凤凰台- 3200- 4- 停留十二格范围内，若遇一般事件必是好事
45-.招魂幡- 3200- 4- 停留八格范围内，若遇一般事件必是坏事
46-.恶鬼幡- 5600- 5- 停留十二格范围内，若遇一般事件必是坏事
